ch130.tsp,1553951137790,6110,0.0 %
d198.tsp,1553951143947,15820,0.25348542458808615 %
eil76.tsp,1553946425750,538,0.0 %
fl1577.tsp,1553947134926,22718,2.1079599083104856 %
kroA100.tsp,1553946589277,21282,0.0 %
lin318.tsp,1553953812909,42425,0.9422065716529063 %
pcb442.tsp,1553947332208,51283,0.9945251880735753 %
pr439.tsp,1553954816221,107728,0.47660352369493647 %
rat783.tsp,1553952475947,9091,3.2364297070179426 %
u1060.tsp,1553955081081,233651,4.264728194418414 %



